,business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,inspection_date,inspection_score,risk_category
187,1090,Tricolore Caffe' and Pizzeria,590 Washington St,San Francisco,CA,94111,37.795614,-122.403104,2017-05-04,74.0,Moderate Risk
188,61816,Bullitt,2209 Polk St,San Francisco,CA,94109,37.797114,-122.42203400000001,2017-05-08,80.0,Low Risk
189,116,The Waterfront Restaurant,Pier 7 Embarcadero,San Francisco,CA,94111,37.793874,-122.396464,2017-05-09,96.0,Moderate Risk
190,4739,LEE'S DELI,525 MARKET St,San Francisco,CA,94105,37.790696999999994,-122.39956299999999,2017-05-10,74.0,
191,27801,Hive Coffee Bar,540 Howard St,San Francisco,CA,94105,37.787764,-122.397089,2017-05-10,91.0,
192,8821,Williams-Sonoma,340 Post St,San Francisco,CA,94108,37.788438,-122.40741399999999,2017-05-12,94.0,Low Risk
193,37986,"Wing On Poultry, Inc",1114 Grant Ave,San Francisco,CA,94133,37.797129,-122.406807,2017-05-16,92.0,Moderate Risk
194,3133,Brandy Ho's Hunan Food,217 Columbus Ave,San Francisco,CA,94133,37.797407,-122.405996,2017-05-16,85.0,Moderate Risk
195,65834,Roma Pizzeria,5099 MISSION St,San Francisco,CA,94112,37.717423,-122.440265,2017-05-17,78.0,Moderate Risk
196,67840,Subs on Hubs,933 Brannan St,San Francisco,CA,,37.77102,-122.40598999999999,2017-05-17,89.0,Low Risk
197,1529,STARBUCKS,490 BRANNAN St,San Francisco,CA,94107,37.778694,-122.39613899999999,2017-05-18,98.0,Low Risk
198,6916,GRAND 7 LIQUOR & DELI,1740A Cesar Chavez St,San Francisco,CA,94124,37.749949,-122.393975,2017-05-22,81.0,Low Risk
199,7778,PAN LIDO SALVADORENO #2 INC.,5216 MISSION St,San Francisco,CA,94112,37.71536,-122.441924,2017-05-25,91.0,Low Risk
200,4610,Liquor & Deli On Union Square,423 Stockton St,San Francisco,CA,94108,37.790034000000006,-122.407104,2017-05-30,96.0,Low Risk
201,39076,The Aventine,582 Washington St,San Francisco,CA,94111,37.795588,-122.40302199999999,2017-05-30,84.0,Low Risk
